id	author_id	instance_id	centralLatitude	centralLongitude	areaCoordinates	DATE_FORMAT(createdAt,'_%Y_%m_%d_%H_%i_%s')	address
24	7	NULL	44.073897096983	12.549648284912		_2016_02_21_00_20_37	{"streetNumber":"171","streetName":"Via Sacramora","postalCode":"47922","locality":"Rimini","subLocality":null,"country":"IT"}
25	7	NULL	44.063166504717	12.576599121094		_2016_02_21_00_37_09	{"streetNumber":"22","streetName":"Viale Monfalcone","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
26	7	NULL	44.059923200000	12.571920800000		_2016_02_21_00_43_24	{"streetNumber":"17","streetName":"Via Castelfidardo","postalCode":"47921","locality":"Rimini","subLocality":null,"country":"IT"}
28	48	NULL	41.882853809457	12.201690673828		_2016_04_06_09_02_40	{"streetNumber":"234","streetName":"Viale Maria","postalCode":"00054","locality":"Maccarese","subLocality":null,"country":"IT"}
29	54	NULL	48.152846100000	11.598667800000		_2016_04_07_19_12_14	{"streetNumber":"7","streetName":"Am Tucherpark","postalCode":"80538","locality":"M\\u00fcnchen","subLocality":"Schwabing-Freimann","country":"DE"}
30	48	NULL	44.030345960668	12.617626190186		_2016_04_15_19_41_22	{"streetNumber":"2","streetName":"Viale Madrid","postalCode":"47924","locality":"Rimini","subLocality":null,"country":"IT"}
31	48	NULL	44.050799243255	12.568144798279		_2016_04_16_08_31_22	{"streetNumber":"23","streetName":"Via della Fiera","postalCode":"47923","locality":"Rimini","subLocality":null,"country":"IT"}
32	48	NULL	42.833300000000	12.833300000000		_2016_05_06_10_48_45	{"streetNumber":null,"streetName":"Strada Provinciale 459","postalCode":"06042","locality":null,"subLocality":null,"country":"IT"}
34	48	NULL	41.887454582276	12.523212432861		_2016_05_10_12_50_11	{"streetNumber":"24","streetName":"Via Casilina Vecchia","postalCode":"00182","locality":"Roma","subLocality":null,"country":"IT"}
35	12	NULL	43.988198590181	12.514972686768		_2016_05_20_08_37_00	{"streetNumber":null,"streetName":"Strada dei Censiti","postalCode":"47899","locality":null,"subLocality":null,"country":"SM"}
36	12	NULL	43.931303901729	12.442874908447		_2016_05_20_08_44_29	{"streetNumber":"25","streetName":"Viale Campo dei Giudei","postalCode":"47890","locality":null,"subLocality":null,"country":"SM"}
37	12	NULL	43.939470366728	12.446458339691		_2016_05_20_08_48_33	{"streetNumber":"2","streetName":"Piazza Mercatale","postalCode":"47893","locality":null,"subLocality":null,"country":"SM"}
38	48	NULL	44.838829983271	11.618556976318		_2016_05_26_13_50_17	{"streetNumber":"20","streetName":"Viale Cavour","postalCode":"44121","locality":"Ferrara","subLocality":null,"country":"IT"}
